Date,Price
2022-02-21,98.95
2022-02-22,98.73
2022-02-23,99.29
2022-02-24,101.29
2022-02-25,98.56
2022-02-28,103.08
2022-03-01,110.93
2022-03-02,118.94
2022-03-03,115.36
2022-03-04,123.86
2022-03-07,129.02
2022-03-08,133.18
2022-03-09,116.58
2022-03-10,114.54
2022-03-11,118.11
2022-03-14,110.39
2022-03-15,105.14
2022-03-16,104.61
2022-03-17,113.5
2022-03-18,114.32
2022-03-21,122.29
2022-03-22,121.53
2022-03-23,127.52
2022-03-24,123.98
2022-03-25,122.67
2022-03-28,114.5
2022-03-29,112.79
2022-03-30,115.59
2022-03-31,107.29
2022-04-01,106.13
2022-04-04,108.15
