label,name,time,commt
2,The New York Times,1-Mar,"Russian forces are moving away from Ukraine’s capital, Kyiv, and the nearby town of Chernihiv, a senior Ukrainian official said Wednesday, with some relocating to the eastern provinces of Kharkiv and Donetsk."
2,The New York Times,1-Mar,"News Analysis: “As international outrage over Russia’s invasion of Ukraine boiled over, foreign ministers and envoys filed in to New Delhi, hoping to pull India off the fence and into clearer condemnation of Russia, its longtime ally,” "
2,The New York Times,1-Mar,"Dozens of medical workers and patients have been killed in more than 80 attacks since Russia invaded Ukraine, the WHO said at a news conference on Wednesday."
2,The New York Times,1-Mar,"After Russia annexed Crimea, Spirit of America sent medical kits to the Ukrainian military and helped U.S. programs fight Russian propaganda. Now, the nonprofit is focused on sending basic, nonlethal military supplies into Ukraine quickly."
2,The New York Times,1-Mar,"Breaking News: President Vladimir Putin’s advisers misinformed him about the Russian military’s struggles in Ukraine, according to U.S. intelligence."
2,The New York Times,1-Mar,"Ukrainians fleeing war remain vulnerable when arriving in Germany, the authorities in Berlin have warned, saying that thieves have been targeting the refugees — mostly women and children — at Berlin’s main train station and bus depot."
2,The New York Times,1-Mar,"Intense strikes continued overnight Wednesday on the Ukrainian city of Chernihiv, the region’s governor said, hours after Russia vowed to sharply reduce its combat in that area and around the capital, Kyiv."
2,The New York Times,1-Mar,"The UN set up a commission of inquiry to investigate international crimes, including possible war crimes and crimes against humanity in the context of Russia’s “aggression against Ukraine.”"
2,The New York Times,1-Mar,"As Russia pledges to scale back operations in Kyiv, soldiers from the 112th Brigade of Ukraine’s Territorial Defense are still preparing for the worst. Our cameras went inside their makeshift base."
2,The New York Times,1-Mar,"Meta, which owns Facebook and Instagram, has repeatedly changed its rules on what it will allow users to post on the war in Ukraine. The shifts have caused confusion among moderators who patrol the sites for gore, hate speech and incitements to violence."
2,Reuters,1-Mar, Reuters reporter on the ground in Ukraine answers your questions about Russia's invasion
2,Reuters,1-Mar,Satellite images show a 40-mile-long Russian military convoy approaching Ukraine’s capital Kyiv https://reut.rs/3C3ZU1W
2,Reuters,1-Mar,Moscow residents stood in long lines at ATMs amid financial uncertainty caused by sanctions imposed by the West against Russia for its invasion of Ukraine https://reut.rs/36VwWWH
2,Reuters,1-Mar,"Non-profit arm of Airbnb would offer free, temporary housing for up to 100,000 refugees fleeing Ukraine, the home rental company said https://reut.rs/35FerFc"
2,Reuters,1-Mar,Concerns rise over global supply chain as airspace closures following Russia's invasion of Ukraine hit world's air cargo https://reut.rs/3vuI2fi
2,Reuters,1-Mar,Wall Street tumbles as Ukraine crisis sows fear http://reut.rs/3HxZimr
2,Reuters,1-Mar,"Turkey says Ukraine-Russia talks unlikely on Wednesday, Russian demands 'unrealistic' http://reut.rs/3sx6TNG"
2,Reuters,1-Mar,"Turkey's Erdogan calls for immediate Ukraine-Russia ceasefire, supports NATO enlargement http://reut.rs/35FLdGr"
2,Reuters,1-Mar,Ford suspends Russian operations following invasion of Ukraine http://reut.rs/35LDo20
2,Reuters,1-Mar,Breakingviews - Ukraine war is tectonic shift for global finance: podcast
2,Reuters,1-Mar,"Satellite images show extensive damage caused by Russian airstrikes in Ukraine, including craters at a military airbase and the aftermath of a fire at an oil terminal after being hit by missiles https://reut.rs/3pu1WDw"
2,Reuters,1-Mar,"Ukrainian President Volodymyr Zelenskiy, a comedian-turned-politician, has emerged as a fierce war leader. Here's how he has rallied the nation with his selfie videos and given voice to Ukrainian defiance of Russia's invasion"
2,Reuters,1-Mar,"Putin and Maduro discussed increasing partnership between Russia, Venezuela -IFX http://reut.rs/3C7rzip"
2,Reuters,1-Mar,Q: Why does the Russian military seem so unorganized and ill-prepared?
2,Reuters,1-Mar,EXCLUSIVE Ukraine's Zelenskiy tells Russia "just stop the bombing" before more ceasefire talks http://reut.rs/3IDqvpg
2,Reuters,1-Mar,World Court to hear Ukraine/Russia case March 7-8 http://reut.rs/3IzeUYg
2,Reuters,1-Mar,"Putin bans cash exports from Russia exceeding $10,000 in value - Kremlin http://reut.rs/3vsFM8w"
2,Reuters,1-Mar,Top U.S. Senate Republican signals support for Biden on Ukraine http://reut.rs/3Iz7eoI
2,Reuters,1-Mar,Thousands of Kyiv residents crowded the train station hoping to board trains heading towards western Ukraine as a massive Russian armored column bore down on Ukraine's capital https://reut.rs/3tptFqh
2,Reuters,1-Mar,"U.S. Secretary of State Anthony Blinken told the U.N. Human Rights Council that Russian 'crimes' in Ukraine are mounting by the hour, with strikes hitting hospitals, schools and residential buildings with civilians https://reut.rs/3C692TZ"
2,Reuters,1-Mar,Exxon Mobil removing U.S. citizen employees from Russia -sources http://reut.rs/3C4quIa
2,Reuters,1-Mar,Chevron CEO points to 'difficult decisions' by competitors to leave Russia http://reut.rs/3hrdyTs
2,Reuters,1-Mar,"U.S., allies set oil reserves release as prices soar http://reut.rs/3Mbj0YG"
2,Reuters,1-Mar,"Prince Charles, heir to the British throne, called Russia's invasion of Ukraine a 'brutal aggression' and expressed his solidarity with Ukrainians resisting the attack https://reut.rs/3tjLoz5"
2,Reuters,1-Mar,EXCLUSIVE Raiffeisen looks at leaving Russia after Ukraine invasion - sources http://reut.rs/3swM8Si
1,Reuters,1-Mar,Islamabad-based diplomats call on Pakistan to condemn Russia http://reut.rs/3pw3q09
1,Reuters,1-Mar,Russian oil firms move bank accounts to keep business running- sources http://reut.rs/3M7YQyG
1,Reuters,1-Mar,Canada shuts ports to Russian ships in widening sanctions over Ukraine invasion http://reut.rs/35IC4gg
1,Reuters,1-Mar,"Amy Kong of Barrett Asset Management explains how the Ukraine crisis is already hitting the consumer discretionary sector, as it may soon feel the pinch from a further disruption to global supply chains"
1,Reuters,1-Mar,"Ukraine's Kharkiv struck by cluster bombs, experts say http://reut.rs/3CczACT"
1,Reuters,1-Mar,Euro falls to lowest since June 2020 as Russia's invasion of Ukraine picks up http://reut.rs/3vvSXp6
1,Reuters,1-Mar,"What happened to Russia's Air Force? U.S. officials, experts stumped http://reut.rs/3KaNgRs"
1,Reuters,1-Mar,Explainer: Which international banks are exposed to Russia? http://reut.rs/3puJhr3
1,Reuters,1-Mar,World's largest container lines suspend shipping to Russia http://reut.rs/3vvG1zN
1,Reuters,1-Mar,Russian oil trade in disarray over sanctions as prices blast through $100/bbl http://reut.rs/3IPSyC1
1,Reuters,1-Mar,Analysis: Ukraine war won't deter Fed and Co. from March rate hikes http://reut.rs/3sAFURD
1,Reuters,1-Mar,Q: How do you differentiate between Russian and Western/European propaganda?
1,Reuters,2-Mar,$10 toothpaste? U.S. household goods makers face blowback on price hikes http://reut.rs/3IzGh4v
1,Reuters,2-Mar,Apple says it halts all product sales in Russia http://reut.rs/3C32hCi
1,Reuters,2-Mar,"As Ukraine conflict rages, Biden seeks to unite Americans in State of the Union speech http://reut.rs/3HB1M3r"
1,Reuters,2-Mar,"Q: Can you describe what life is like now in Lviv, where you are reporting?"
1,Reuters,2-Mar,"Analysis: Russian ransomware attacks on Ukraine muted by leaks, insurance woes http://reut.rs/3syPODi"
1,Reuters,2-Mar,Q:  Are arms being released indiscriminately to the population?
1,Reuters,2-Mar,U.S. President Biden will seek to unite Americans in solidarity with Ukraine in his State of the Union address https://reut.rs/3pwi9rX #SOTU
1,Reuters,2-Mar,Wall Street ends sharply lower as Ukraine crisis sows fear http://reut.rs/3K9piWO
1,Reuters,2-Mar,Russia to retaliate for U.S. expulsion of 12 diplomats at U.N. http://reut.rs/3tozILF
1,Reuters,2-Mar,Q: We haven't heard much of the Russian forces in the west of the country. What has the impact of the war been there?
1,Reuters,2-Mar,"Exclusive: Ukraine plans to urge about 50 more tech companies, including in gaming, esports and internet infrastructure, to take action against Russia, a top Ukrainian government tech official tells "
