,name,time,label,commt
0,Reuters,24-Mar,1," stories you need to know today: Biden joins Western leaders in Brussels to discuss taking more action against Russia, Mariupol authorities say about 15,000 civilians have been illegally deported to Russia since Russian forces seized parts of the city, and more"
1,Reuters,24-Mar,1,Morning Bid: A month of war http://reut.rs/3IGjp29
2,Reuters,24-Mar,2,"Stelios Kerasidis, aged nine, composed an original score titled 'Anti-War Etude’ as a dedication to those suffering from the conflict in Ukraine"
3,Reuters,24-Mar,2,Kremlin says Russian billionaire Abramovich played early role in Ukraine peace talks http://reut.rs/3wzXkQr
4,Reuters,24-Mar,2,"Britain froze the assets of Russia's Gazprombank, Alfa Bank and the state-run shipping firm Sovcomflot. They were among 59 individuals and entities added to the sanctions list which has been used to target Moscow since Russia invaded Ukraine https://reut.rs/3IzXMkk"
5,Reuters,24-Mar,1,"Indian Oil to raise petrol, diesel prices from Friday http://reut.rs/3iwwOiO"
6,Reuters,23-Mar,2,BOJ policymaker warns of risks to Japan's recovery from Ukraine crisis http://reut.rs/3tC5kii
7,Reuters,23-Mar,2,"Speaking to Japanese lawmakers by video link, Ukrainian President Volodymyr Zelenskiy thanked Japan for leading the way among Asian nations in condemning Russia's invasion of Ukraine and launching sanctions https://reut.rs/3upYPy2"
8,Reuters,24-Mar,1,Breakingviews - ECB squeeze leaves room for fiscal war response
9,Reuters,23-Mar,2,"A month since Russia's invasion began, Ukraine's leader called for solidarity, warning he would see who sells out at summits in Europe. President Volodymyr Zelenskiy also called on people around the world to take to the streets and demand the war end https://reut.rs/3L6D50U"
10,Reuters,24-Mar,1,Tens of thousands of African students had their education upended when they were forced to flee Russia's invasion of Ukraine and have been left wondering how to salvage their degrees https://reut.rs/3wwjrra
11,Reuters,23-Mar,1,Indian shares flat as investors weigh oil price spike; Zee soars http://reut.rs/3L9orWS
13,Reuters,24-Mar,1,"EXCLUSIVE: OPEC officials believe a possible European Union ban on oil from its partner Russia would hurt consumers and the group has conveyed its concerns to Brussels, OPEC sources said https://reut.rs/3urAKag"
