name,time,commt,label
The Economist,Mar 25,Joe Biden is in Europe meeting with allies as the conflict in Ukraine enters its second month. Is the war a turning point for American foreign policy? Our “Checks and Balance” podcast investigates https://econ.st/3JIrmW6,2
The Economist,Mar 24,The Stans want nothing to do with Vladimir Putin’s invasion of Ukraine,2
The Economist,Mar 25,"As war broke out, fearful Russians stocked up on staple foods like sugar and flour",1
The Economist,Mar 25,"In Lviv, curators and librarians are hiding Ukraine’s treasures underground. From ",0
The Economist,Mar 25,"“The odds of the use of a nuclear weapon are still low…but they are a lot higher than they were just a month ago.” Edward Carr, The Economist’s deputy editor, examines the war in Ukraine with ",1
The Economist,Mar 25,"Joe Biden is seeking help from authoritarian regimes, provoking worries that, just as the West overlooked abuses by anti-communist allies during the cold war, it will make ugly compromises now to counter Putin",2
The Economist,Mar 25," Who are the Russians fleeing Russia, and where are they going?",1
The Economist,Mar 25,"John Mearsheimer recently argued in a guest essay for The Economist that the West is “principally responsible” for the crisis in Ukraine. Writing in response, Sir Adam Roberts disagrees—and says this view goes “too far”",1
The Economist,Mar 25,“You think anyone feels safe?” The war is reaching all corners of Ukraine,1
The Economist,Mar 24,"What makes biological weapons so dangerous, and does Russia have them?",1
The Economist,Mar 25,Disruptions to wheat and sunflower oil supplies are pushing up food companies’ costs just as energy prices are also sky-high,1
The Economist,Mar 24,"American defence officials posit that hypersonic boasts are mere propaganda, intended to send a message to the West about Russia’s capability and superiority. But they may also reveal a Russian weakness",2
The Economist,Mar 25,“A library can create an intellectual revolution. A library is more powerful than Putin’s aeroplanes.” ,2
The Economist,Mar 25,"A month after Russia invaded Ukraine, the unifying effects of the original jolt are starting to wear off. Divisions within the EU are re-emerging",1
The Economist,Mar 24,"Russians heeded calls to protest against the war in Ukraine from critics of Vladimir Putin, including Alexei Navalny, a jailed opposition leader, and Mikhail Khodorkovsky, an exiled ex-oligarch",2
The Economist,Mar 25,Support for the war has been conspicuous by its absence,2
The Economist,Mar 25,"Russia turned up the terror dial in Mariupol; bombs struck hospitals, maternity wards, the Red Cross – and then the theatre",1
The Economist,Mar 24,"In Ukraine, Biden must relearn Truman’s lessons from the cold war",0
The Economist,Mar 25,Europe wants to cut imports of gas from Russia by two-thirds within a year. How will the continent cope next winter?,1
The Economist,Mar 25,The Russian forces close to Kyiv have been held at bay for the past two weeks. No one in the city now believes that Russia has the fighting power needed to take and occupy it,2
The Economist,Mar 25,"Soviet shelling, Nazi looting and poor conservation – Lviv’s university library has withstood many assaults over the years. Can it survive another war?",0
The Economist,Mar 25,"“President Trump…seemed to really envy Putin’s ability to basically do whatever he wanted.” Marie Yovanovitch, America’s former ambassador to Ukraine, explores foreign policy and the war in Ukraine, on “The Economist Asks” podcast",1
The Economist,Mar 25,Inflation in Russia is reaching heights not seen since the financial crisis of 1998.,1
The Economist,Mar 25,"“There is a risk in providing assistance…but there is also a risk in not acting robustly enough, because Vladimir Putin is a man who only understands strength.” Marie Yovanovitch, America’s former ambassador to Ukraine, talks to “The Economist Asks”",1
The Economist,Mar 25,"In the centre of Kyiv, life is improving: petrol is no longer rationed, bread is back on supermarket shelves and trains are running. But the signs, sounds and horrors of war persist",2
The Economist,Mar 25,"As Chinese officials tell it, Russia is defending itself against American aggression and a long campaign of encirclement by NATO",1
The Economist,Mar 24,The war in Ukraine adds urgency to the creation of an energy system which depends less on fossil fuels. But this new era will not allow an easy escape from the curse of energy crises and autocrats,1
The Economist,Mar 24,"“Russian military doctrine includes nuclear weapons as another weapon in its arsenal, which I think, for the other nuclear powers, is not the case.” Marie Yovanovitch, America’s former ambassador to Ukraine, explores Russia’s war, on “The Economist Asks”",1
The Economist,Mar 25,"“If Vladimir Putin wants to recreate the Soviet Union, he’s doing a great job of it in Russia...the stock market’s been closed, the rouble’s worth a penny.” Marie Yovanovitch, America’s former ambassador to Ukraine, on “The Economist Asks”",1
The Economist,Mar 25,Russia’s war has hastened the climate-driven energy transition—but it will not be risk-free. We explain how it will disrupt some economies and cause new dependence on others,1
The Economist,Mar 26,"As the war in Ukraine grinds on, Emmanuel Macron has swapped his navy suit for a weekend hoodie. But try as he might, the president will never credibly look dishevelled",2
The Economist,Mar 26,"“For me a library is like an army,” says Vasyl Kmet. How a librarian in Lviv is preparing for war",2
The Economist,Mar 26,“People were looking for some small island where they could be safe”: Ukraine’s churches are serving as air-raid shelters,2
The Economist,Mar 26,"As it sinks in that he cannot win in Ukraine, Vladimir Putin is resorting to repression at home",2
The Economist,Mar 26,New nuclear plants are central to weaning Britain off Russian oil and gas and reducing carbon emissions,2
The Economist,Mar 25,"The visit to the UAE came as Russia waged war in Ukraine, using tactics honed over seven years backing Bashar al-Assad",1
The Economist,Mar 25,"“Russia and China are counting on disunity in NATO… and Biden needs to keep that coalition together.” Edward Carr, The Economist’s deputy editor, assesses whether Western unity will hold as the war in Ukraine continues, on “The Economist Asks” podcast",1
The Economist,Mar 25,Oil has already boosted Guyana’s tiny economy: it grew 20% last year and 44% in 2020,1
The Economist,Mar 26,The metals rush will not be as big as the oil-and-gas boom that toppled King Coal after the second world war. But there are some echoes with the past,1
The Economist,Mar 26,Price-optimisation systems are becoming cleverer thanks to advances in artificial intelligence,2
