name,time,commt,,
ABC News,8-Mar,"""Why don't we dedicate this entire show to them and pray for peace around this crazy ol' world?"" Dolly Parton said of Ukraine.",0,
ABC News,8-Mar,"LATEST: Russia declares temporary cease-fire in five besieged cities of Ukraine, including the capital, to let civilians leave.",0,
ABC News,8-Mar,"JUST IN: Pres. Biden to speak at 10:45 a.m. on ""actions to continue to hold Russia accountable for its unprovoked and unjustified war on Ukraine,"" White House says. https://abcn.ws/3HRoswA",1,
ABC News,8-Mar,"More than 2 million people have fled Ukraine to neighboring countries since Russian forces invaded the eastern European country on Feb. 24, according to the UNHCR. ",0,
ABC News,8-Mar,"NEW: Ukrainian Pres. Zelenskyy thanks Pres. Biden for additional sanctions taken against Russia, saying they will ""significantly weaken the occupiers."" https://abcn.ws/35zIWNn",1,
ABC News,8-Mar,"Russia's invasion of Ukraine has brought up deep divisions in the Middle East, where Moscow has made itself a key player in recent years.",0,
ABC News,8-Mar,"Pres. Biden responded to a question on gas prices as he arrived in Fort Worth, Texas, saying, ""they're gonna go up.""",1,
ABC News,8-Mar,"Pres. Biden on ban of Russian oil imports: ""I said defending freedom is going to cost. It's going to cost us, as well...Republicans and Democrats alike understand that. Republicans and Democrats alike have been clear that we must do this."" http://abcn.ws/3pP9roC",1,
ABC News,8-Mar,"More than 2 million people have fled Ukraine since the Russian invasion began on Feb. 24, the head of the U.N. Refugee Agency says. https://abcn.ws/3HRVbBT",0,
ABC News,8-Mar,Refugees from southern Ukraine fleeing Russia's invasion crossed the Danube River aboard a ferry to find safety in Romania. https://abcn.ws/35VDC6A,0,
ABC News,8-Mar,"LATEST: More than 2 million people have fled Ukraine since the Russian invasion began on Feb. 24, the head of the U.N. Refugee Agency says.",0,
ABC News,7-Mar,"""If war stops, I really want to go home.""",0,
ABC News,8-Mar,"""We do not want to lose what we have, what is ours, our country, Ukraine,"" Ukrainian Pres. Zelensky tells House of Commons through a translator, ""just the same way as you once didn't want to lose your country when Nazis starting to fight your country."" https://abcn.ws/35MUgVY",1,
ABC News,7-Mar,LATEST: The World Bank says its board approved a package of loans and guarantees for Ukraine totaling $723 million. https://abcn.ws/3IULvb9,1,
ABC News,8-Mar,: Ukrainian soldiers help elderly women to cross a destroyed bridge as they evacuate the city of Irpin. ,0,
ABC News,8-Mar,": Members of a Territorial Defense unit play checkers with molotov cocktails while guarding a barricade after curfew on the outskirts of eastern Kyiv, Ukraine. https://abcn.ws/3vOALao",0,
ABC News,8-Mar,"Energy giant Shell announces plans to withdraw from its involvement in all Russian hydrocarbons, including crude oil and natural gas, amid Russia's unprovoked invasion of neighboring Ukraine. https://abcn.ws/34mXIpQ",1,
ABC News,8-Mar,Ukraine Emergency Services released footage showing a fire at an oil depot in the city of Zhytomyr after a reported strike on Monday. https://abcn.ws/3ITD8N3,1,
ABC News,8-Mar,"Pres. Biden warns gas prices will rise further as a result of ban on Russian oil imports: ""I'm going to do everything I can to minimize Putin's price hike here at home."" http://abcn.ws/3pP9roC",1,
ABC News,8-Mar,The World Bank says its board approved a package of loans and guarantees for Ukraine totaling $723 million. https://abcn.ws/3sR1YaL,1,
ABC News,8-Mar,"LATEST: Out of the more than 2 million people who have been forced to flee Ukraine since Russian forces invaded on Feb. 24, half of them are children, according to the United Nations International Children's Emergency Fund.",0,
ABC News,8-Mar,"""Climate is like war: If we don’t handle it, people are going to die and they’re going to be suffering,"" former California Gov. Jerry Brown says.",0,
ABC News,7-Mar,"Blinken even appealed to Putin's family history, comparing the Kremlin's siege of Ukrainian cities to Nazi Germany's siege of Russian cities during World War II, which killed Putin's 1-year-old brother Viktor.",0,
ABC News,8-Mar,"“You know we get used to saying Monday is a tough day. We have a war in the country, so every day is Monday.”",0,
ABC News,7-Mar,Musicians played the Ukrainian national anthem in front of the National Portrait Gallery in London's Trafalgar Square amid a rally in support of Ukraine. https://abcn.ws/3HKPHsF,0,
ABC News,8-Mar,Swathes of Ukraine’s eastern city of Kharkiv reduced to rubble after Russian air strikes. https://abcn.ws/3ChkHiM,0,
ABC News,8-Mar,BREAKING: Pres. Biden announces U.S. ban on Russian oil imports.,1,
ABC News,8-Mar,"Pres. Biden commends oil and gas companies that have pulled out of Russia, warns them not to ""exploit"" American consumers.",2,
