,Date,name,label,commt
0,2022-03-24,Reuters,1, stories you need to know today biden joins western leaders in brussels to discuss taking more action against russia mariupol authorities say about 15000 civilians have been illegally deported to russia since russian forces seized parts of the city and more
1,2022-03-24,Reuters,1,morning bid a month of war 
2,2022-03-24,Reuters,2,stelios kerasidis aged nine composed an original score titled anti-war etudeâ as a dedication to those suffering from the conflict in ukraine
3,2022-03-24,Reuters,2,kremlin says russian billionaire abramovich played early role in ukraine peace talks 
4,2022-03-24,Reuters,2,britain froze the assets of russias gazprombank alfa bank and the state-run shipping firm sovcomflot they were among 59 individuals and entities added to the sanctions list which has been used to target moscow since russia invaded ukraine 
5,2022-03-24,Reuters,1,indian oil to raise petrol diesel prices from friday 
6,2022-03-23,Reuters,2,boj policymaker warns of risks to japans recovery from ukraine crisis 
7,2022-03-23,Reuters,2,speaking to japanese lawmakers by video link ukrainian president volodymyr zelenskiy thanked japan for leading the way among asian nations in condemning russias invasion of ukraine and launching sanctions 
8,2022-03-24,Reuters,1,breakingviews - ecb squeeze leaves room for fiscal war response
9,2022-03-23,Reuters,2,a month since russias invasion began ukraines leader called for solidarity warning he would see who sells out at summits in europe president volodymyr zelenskiy also called on people around the world to take to the streets and demand the war end 
10,2022-03-24,Reuters,1,tens of thousands of african students had their education upended when they were forced to flee russias invasion of ukraine and have been left wondering how to salvage their degrees 
11,2022-03-23,Reuters,1,indian shares flat as investors weigh oil price spike zee soars 
12,2022-03-24,Reuters,1,exclusive opec officials believe a possible european union ban on oil from its partner russia would hurt consumers and the group has conveyed its concerns to brussels opec sources said 
13,2022-03-23,Reuters,2,ukrainian ballerinas forced to flee war in their home country have found a temporary home at berlins main ballet company which helps them with practice space accommodation clothing and career advice 
14,2022-03-23,Reuters,0,ukraine uses facial recognition to identify dead russian soldiers minister says 
15,2022-03-24,Reuters,1,john stoltzfus of oppenheimer asset management says us industrial stocks dropped immediately after russias invasion of ukraine but have since recovered lost ground and are outperforming the wider market
16,2022-03-24,Reuters,2,exclusive the us assesses that russias failure rate is as high as 60% for some of the precision-guided missiles it is using to attack ukraine three us officials with knowledge of the intelligence say 
17,2022-03-24,Reuters,1,live nato leaders meet in brussels to discuss ukraine
18,2022-03-24,Reuters,1,morning bid a month of war 
19,2022-03-23,Reuters,0,ukraine and russia what you need to know right now 
20,2022-03-24,Reuters,2,us to welcome up to 100000 ukrainians fleeing war amid broader aid effort 
21,2022-03-24,Reuters,1,un general assembly again overwhelmingly isolates russia over ukraine 
22,2022-03-24,Reuters,1,german gas buyers raise the alarm over russias rouble demand 
23,2022-03-24,Reuters,2,war story ukraines children use crayons to channel trauma 
24,2022-03-24,Reuters,0,india says us russia ties stand on their own merit despite ukraine war 
25,2022-03-24,Reuters,2,us announces new russia sanctions over ukraine invasion 
26,2022-03-24,Reuters,0,russias defence minister resurfaces after dropping out of view 
27,2022-03-24,Reuters,2,hollywood actor and director sean penn called on the american people to help ukraine speaking at a news conference in krakow poland he said that if america didnt support ukraine they would lose sight of their values and flag
28,2022-03-24,Reuters,0,kremlin says russias latest expulsion of us diplomats is forced measure 
29,2022-03-24,Reuters,1,asian shares struggle oil edges lower as ukraine worries linger 
30,2022-03-24,Reuters,1,oligarchs wealth remains largely untouched in the european union weeks after brussels approved measures to freeze the assets of dozens of billionaires and top officials linked to russia following its invasion of ukraine
31,2022-03-25,Reuters,2,fitch withdraws russias ratings to comply with eu sanctions 
32,2022-03-24,Reuters,2,us stocks bounced back from a sharp fall in the previous session as investors snapped up beaten-down chipmakers and big tech names and as oil prices dropped 
33,2022-03-25,Reuters,0,vladimir putin accused the west of trying to cancel russias rich musical and literary culture including composers pyotr tchaikovsky and sergei rachmaninov in the same way he said it had canceled harry potter author jk rowling 
34,2022-03-25,Reuters,2,sitting in front of a destroyed building cellist denys karachevtsev brings a moment of serenity to the war-torn streets of ukraines kharkiv as he plays bachâs âcello suite no5 in c minorâ
35,2022-03-25,Reuters,0,russians have rushed to stock up on anti-depressants sleeping pills and contraceptives among other products since the conflict in ukraine began data showed 
36,2022-03-24,Reuters,2,the biden administration announced that the united states plans to accept up to 100000 ukrainians fleeing russias invasion while also pledging $1 billion in new humanitarian aid 
37,2022-03-25,Reuters,1,russia warns west gas bills in roubles are just days away 
38,2022-03-25,Reuters,1,russias novatek halts growth projects other than arctic lng 2 - kommersant 
39,2022-03-25,Reuters,2,commodities trading houses help keep russian oil flowing 
40,2022-03-25,Reuters,2,analysis bogged down in ukraine russia moves war goalposts 
41,2022-03-24,Reuters,2,ukraine urges halt to russias assault as biden heads to poland 
42,2022-03-25,Reuters,1,the head of the un human rights team in ukraine said that monitors had received more information about mass graves in the besieged port city of mariupol including one that appeared to hold 200 bodies 
43,2022-03-25,Reuters,0,russians have stocked up a months worth of anti-depressants sleeping pills and contraceptives among other medication since the conflict began in ukraine 
44,2022-03-25,Reuters,0,us fcc adds russias kaspersky china telecom firms to national security threat list 
45,2022-03-25,Reuters,1,oil rebounds after reports of fire at aramco oil facility 
46,2022-03-25,Reuters,2,russian precision-guided missiles are failing up to 60% of the time in ukraine three us officials with knowledge of intelligence on the issue told 
47,2022-03-25,Reuters,1,ukraine has retaken towns 35km east of kyiv uk says 
48,2022-03-25,Reuters,1,a group of african students who fled the war in ukraine to the safety of germany have described suffering discrimination and violence
49,2022-03-25,Reuters,1,war in ukraine causes german business morale to collapse 
50,2022-03-25,Reuters,2,us president joe biden got a firsthand look at international efforts to help some of the millions of ukrainian war refugees in poland and also spoke to american troops bolstering natos eastern flank 
51,2022-03-24,Reuters,2,russia running out of precision munitions in ukraine war- pentagon official 
52,2022-03-25,Reuters,1,yemens houthis said they launched attacks on saudi energy facilities on friday and the saudi-led coalition said oil giant aramcos petroleum products distribution station in jeddah was hit causing a fire in two storage tanks but no casualties 
53,2022-03-24,Reuters,2,oil drops as supply crunch fears ease trading costs rise 
54,2022-03-25,Reuters,2,exclusive russias gazprom seeks gas payments in euros from indias gail 
55,2022-03-25,Reuters,1,we are lost yemenis face eighth year of struggle as war grinds on 
56,2022-03-25,Reuters,0,ukraine war reverberates on taiwans frontline of democracy 
